docname,from,to,pre,keyword,post,pattern
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_567,35,35,"Trump delivered a fiery response to Biden during a rally in Arizona , one of the swing states he is trying to win in the 2024 White House race against Biden’s vice president ,",Kamala,"Harris , in less than two weeks .",kamala
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_567,36,36,"Trump delivered a fiery response to Biden during a rally in Arizona , one of the swing states he is trying to win in the 2024 White House race against Biden’s vice president , Kamala",Harris,", in less than two weeks .",harris
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_568,38,38,"“ He blew it . He said ‘ lock him up . ’ He said ‘ lock him up ’ last night . He’s not allowed to say that ! He’s such a stupid guy , ”",Trump,said with a chuckle . “ Such a stupid fool . ”,trump
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_569,24,24,""" HE BLEW IT , HE SAID LOCK HIM UP LAST NIGHT , HE'S NOT ALLOWED TO SAY THAT ! "" – President",@realDonaldTrump,"comments on Joe Biden's comments to "" lock him up ! "" pic.twitter.com / dRF7mM8rwr",donald
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_569,24,24,""" HE BLEW IT , HE SAID LOCK HIM UP LAST NIGHT , HE'S NOT ALLOWED TO SAY THAT ! "" – President",@realDonaldTrump,"comments on Joe Biden's comments to "" lock him up ! "" pic.twitter.com / dRF7mM8rwr",trump
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_569,25,25,""" HE BLEW IT , HE SAID LOCK HIM UP LAST NIGHT , HE'S NOT ALLOWED TO SAY THAT ! "" – President @realDonaldTrump",comments,"on Joe Biden's comments to "" lock him up ! "" pic.twitter.com / dRF7mM8rwr",men
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_569,29,29,""" HE BLEW IT , HE SAID LOCK HIM UP LAST NIGHT , HE'S NOT ALLOWED TO SAY THAT ! "" – President @realDonaldTrump comments on Joe Biden's",comments,"to "" lock him up ! "" pic.twitter.com / dRF7mM8rwr",men
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_572,2,2,After,mentioning,"Trump’s push to cut down the Department of Education during an event in New Hampshire on Tuesday , Biden made the comment about locking him up while making reference to the federal 2020 election interference case against the former president .",men
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_572,3,3,After mentioning,Trump’s,"push to cut down the Department of Education during an event in New Hampshire on Tuesday , Biden made the comment about locking him up while making reference to the federal 2020 election interference case against the former president .",trump
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_572,9,9,After mentioning Trump’s push to cut down the,Department,"of Education during an event in New Hampshire on Tuesday , Biden made the comment about locking him up while making reference to the federal 2020 election interference case against the former president .",men
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_572,24,24,"After mentioning Trump’s push to cut down the Department of Education during an event in New Hampshire on Tuesday , Biden made the",comment,about locking him up while making reference to the federal 2020 election interference case against the former president .,men
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_574,1,1,,Trump,"“ thinks he has a right under the Supreme Court ruling on immunity to be able if need be , if it was the case , to actually eliminate , physically eliminate , shoot and kill , someone who he believes to be a threat to him , ” Biden",trump
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_576,6,6,Biden in NH lists what,Trump,"would do as president and says : “ we gotta lock him up ” and then , appearing to realize how his comments would be taken , adds : “ politically , lock him up . ” pic.twitter.com / cw3X8RzKn2",trump
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_576,29,29,"Biden in NH lists what Trump would do as president and says : “ we gotta lock him up ” and then , appearing to realize how his",comments,"would be taken , adds : “ politically , lock him up . ” pic.twitter.com / cw3X8RzKn2",men
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_579,25,25,"White House Press Secretary Karine Jean-Pierre insisted to reporters on Wednesday that Biden meant “ lock him out politically , ” as in defeating",Trump,in the election .,trump
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_580,14,14,Q : What did the president mean when he said last night about,Donald,"Trump , ' we you gotta lock him up ? ' "" @PressSec : "" He meant lock him out politically . "" pic.twitter.com / 0gd0ymBpCh",donald
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_580,15,15,Q : What did the president mean when he said last night about Donald,Trump,", ' we you gotta lock him up ? ' "" @PressSec : "" He meant lock him out politically . "" pic.twitter.com / 0gd0ymBpCh",trump
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_583,10,10,"However , the damage may already be done .",Trump’s,"lawyers filed a motion to dismiss the 2020 election case , which is led by special counsel Jack Smith , citing Biden’s “ lock him up ” remark .",trump
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_584,1,1,,Trump,"of course entertained chants of “ lock her up ” in relation to his 2016 election rival , Hillary Clinton , and “ lock him up ” in 2020 when competing against Biden .",trump
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_585,9,9,Yet Biden took up a similar call while,Trump,is actually facing federal prosecution under the sitting president’s administration .,trump
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_586,13,13,"During an event on Wednesday in the battleground state of Georgia ,",Trump,said Biden going there amounted to meddling in the 2024 presidential contest .,trump
he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt_587,12,12,"“ I’ve been telling you that it’s election interference , ”",Trump,said . “ This is all it is . He said ‘ we got to lock him up . ’ This is illegal . ”,trump
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_592,3,3,Here’s Where,Trump,And Kamala Will Spend Their Final Campaign Day,trump
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_592,5,5,Here’s Where Trump And,Kamala,Will Spend Their Final Campaign Day,kamala
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_598,1,1,,Trump,will visit three battleground states while Kamala will focus on just one .,trump
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_598,8,8,Trump will visit three battleground states while,Kamala,will focus on just one .,kamala
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_599,3,3,Former President,Donald,"Trump plans to blitz through three battleground states on Monday , while Vice President Kamala Harris is expected to focus on Pennsylvania with Election Day just hours away .",donald
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_599,4,4,Former President Donald,Trump,"plans to blitz through three battleground states on Monday , while Vice President Kamala Harris is expected to focus on Pennsylvania with Election Day just hours away .",trump
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_599,18,18,"Former President Donald Trump plans to blitz through three battleground states on Monday , while Vice President",Kamala,Harris is expected to focus on Pennsylvania with Election Day just hours away .,kamala
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_599,19,19,"Former President Donald Trump plans to blitz through three battleground states on Monday , while Vice President Kamala",Harris,is expected to focus on Pennsylvania with Election Day just hours away .,harris
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_600,1,1,,Trump,"is scheduled to hold rallies in North Carolina , Pennsylvania , and Michigan , while Harris will spend the day campaigning in the Keystone State . The latest polling shows that Trump has a narrow lead in Pennsylvania and North Carolina , and Harris has a slight edge in Michigan",trump
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_600,17,17,"Trump is scheduled to hold rallies in North Carolina , Pennsylvania , and Michigan , while",Harris,"will spend the day campaigning in the Keystone State . The latest polling shows that Trump has a narrow lead in Pennsylvania and North Carolina , and Harris has a slight edge in Michigan .",harris
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_600,33,33,"Trump is scheduled to hold rallies in North Carolina , Pennsylvania , and Michigan , while Harris will spend the day campaigning in the Keystone State . The latest polling shows that",Trump,"has a narrow lead in Pennsylvania and North Carolina , and Harris has a slight edge in Michigan .",trump
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_600,45,45,"Trump is scheduled to hold rallies in North Carolina , Pennsylvania , and Michigan , while Harris will spend the day campaigning in the Keystone State . The latest polling shows that Trump has a narrow lead in Pennsylvania and North Carolina , and",Harris,has a slight edge in Michigan .,harris
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_602,1,1,,Trump,"will begin Monday morning in Raleigh , North Carolina , where he will speak at the J.S . Dorton arena at 10 : 00 a.m . Trump , who won the state in both 2016 and 2020 , also visited the Tar Heel State on Saturday and Sunday , where",trump
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_602,28,28,"Trump will begin Monday morning in Raleigh , North Carolina , where he will speak at the J.S . Dorton arena at 10 : 00 a.m .",Trump,", who won the state in both 2016 and 2020 , also visited the Tar Heel State on Saturday and Sunday , where he held rallies in Gastonia , Greensboro , and Kinston .",trump
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_603,3,3,"Next ,",Trump,"will head to Pennsylvania for events in Reading and Pittsburgh . On Sunday , he rallied in Lititz , where he urged his supporters to show up to the polls on Tuesday .",trump
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_604,15,15,"“ You need to get out and vote , it’s very simple , ”",Trump,"said . “ For the past nine years , we’ve been fighting against the most sinister and corrupt forces anywhere on earth . With your vote in this election you can show them once and for all that this nation does not belong to them . This nation belongs to",trump
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_606,1,1,,Trump’s,"last event on Monday will be in Grand Rapids , Michigan , scheduled to begin at 10 : 30 p.m . In 2016 and 2020 , Trump also closed out his campaigns in Grand Rapids .",trump
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_606,28,28,"Trump’s last event on Monday will be in Grand Rapids , Michigan , scheduled to begin at 10 : 30 p.m . In 2016 and 2020 ,",Trump,also closed out his campaigns in Grand Rapids .,trump
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_607,1,1,,Harris,"is holding events in Scranton , Allentown , Pittsburgh , and Philadelphia . The stops in Pittsburgh and Philadelphia will feature celebrities like Lady Gaga , Katy Perry , Ricky Martin , The Roots , and Oprah Winfrey .",harris
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_608,17,17,"“ We need you to vote , Pennsylvania . We need you to vote , ”",Harris,said last week during an event in Harrisburg . “ No one can sit on the sidelines . ”,harris
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_608,25,25,"“ We need you to vote , Pennsylvania . We need you to vote , ” Harris said last week during an event in",Harrisburg,. “ No one can sit on the sidelines . ”,harris
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_609,1,1,,Harris,"spent the weekend campaigning in Michigan , Georgia , and North Carolina .",harris
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt_610,1,1,,Harris,"’ running mate , Governor Tim Walz ( D-MN ) , will spend Monday in the Midwest , visiting the Wisconsin cities of La Crosse , Stevens Point , and Milwaukee before heading to Detroit , Michigan . Republican vice presidential candidate and Ohio Senator JD Vance will visit four",harris
hillary_clinton_compares_trump_campaign_event_to_nazi_rally.txt_615,4,4,Hillary Clinton Compares,Trump,Campaign Event To Nazi Rally,trump
hillary_clinton_compares_trump_campaign_event_to_nazi_rally.txt_622,14,14,Twice failed Democratic presidential candidate Hillary Clinton claimed this week that former President,Donald,Trump was trying to reenact an infamous Nazi rally in the U.S . from the 1930s with one of his upcoming political events .,donald
hillary_clinton_compares_trump_campaign_event_to_nazi_rally.txt_622,15,15,Twice failed Democratic presidential candidate Hillary Clinton claimed this week that former President Donald,Trump,was trying to reenact an infamous Nazi rally in the U.S . from the 1930s with one of his upcoming political events .,trump
hillary_clinton_compares_trump_campaign_event_to_nazi_rally.txt_623,22,22,Clinton made the inflammatory remarks Thursday night during an interview with CNN’s Kaitlan Collins when Collins asked Clinton if she believed,Trump,was a “ fascist . ”,trump
hillary_clinton_compares_trump_campaign_event_to_nazi_rally.txt_625,15,15,"“ And one other thing that you’ll see next week , Kaitlan , is",Trump,"actually re-enacting the Madison Square Garden rally in 1939 , ” Clinton said . “ President Franklin Roosevelt was appalled that neo-Nazis , fascists in America , were lining up to essentially pledge their support for the kind of government that they were seeing in Germany . ”",trump
hillary_clinton_compares_trump_campaign_event_to_nazi_rally.txt_625,55,55,"thing that you’ll see next week , Kaitlan , is Trump actually re-enacting the Madison Square Garden rally in 1939 , ” Clinton said . “ President Franklin Roosevelt was appalled that neo-Nazis , fascists in America , were lining up to essentially pledge their support for the kind of",government,that they were seeing in Germany . ”,men
hillary_clinton_compares_trump_campaign_event_to_nazi_rally.txt_629,8,8,"Clinton’s remarks come as many , including",Trump,", have blamed extreme remarks from the political Left for the two assassination attempts on his life this year .",trump
hillary_clinton_compares_trump_campaign_event_to_nazi_rally.txt_631,22,22,"Crooked Hillary , increasingly bitter about the fact that she will never be president , says that everybody who attends President",Trump’s,rally at MSG on Sunday is a Nazi . pic.twitter.com / 7cUXIlNuor,trump
hillary_clinton_compares_trump_campaign_event_to_nazi_rally.txt_632,2,2,—,Trump,"War Room ( @TrumpWarRoom ) October 25 , 2024",trump
hillary_clinton_compares_trump_campaign_event_to_nazi_rally.txt_632,6,6,— Trump War Room (,@TrumpWarRoom,") October 25 , 2024",trump
hillary_clinton_compares_trump_campaign_event_to_nazi_rally.txt_633,20,20,Related : ‘ I Worked For John Kelly And Don’t Believe Him ’ : No One’s Buying Atlantic ‘,Trump,Loves Hitler ’ Smear,trump
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_638,6,6,Hillary Clinton : Voters See,Trump,"As ‘ Strong , ’ Believe He Offers ‘ Better ’ Future For Them",trump
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_644,6,6,Clinton claimed that Vice President,Harris,"is facing a "" double standard "" in the media and from voters .",harris
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_645,20,20,Twice failed Democratic presidential candidate Hillary Clinton said during an interview this week that many voters like former President,Donald,Trump because they view him as “ strong . ”,donald
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_645,21,21,Twice failed Democratic presidential candidate Hillary Clinton said during an interview this week that many voters like former President Donald,Trump,because they view him as “ strong . ”,trump
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_646,26,26,Clinton made the remarks Thursday night on CNN’s “ The Source ” with Kaitlan Collins while talking about the state of the upcoming election between,Trump,and Vice President Kamala Harris .,trump
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_646,30,30,Clinton made the remarks Thursday night on CNN’s “ The Source ” with Kaitlan Collins while talking about the state of the upcoming election between Trump and Vice President,Kamala,Harris .,kamala
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_646,31,31,Clinton made the remarks Thursday night on CNN’s “ The Source ” with Kaitlan Collins while talking about the state of the upcoming election between Trump and Vice President Kamala,Harris,.,harris
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_648,19,19,Collins asked Clinton if she thought that there was a “ double standard ” in the race since,Harris,showed up for CNN’s recent town hall while Trump declined .,harris
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_648,28,28,Collins asked Clinton if she thought that there was a “ double standard ” in the race since Harris showed up for CNN’s recent town hall while,Trump,declined .,trump
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_649,23,23,"“ I really do , Kaitlan , and I see it as a double standard , ” Clinton said , even though",Trump,has far outpaced Harris in the number of media interviews both candidates have given .,trump
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_649,27,27,"“ I really do , Kaitlan , and I see it as a double standard , ” Clinton said , even though Trump has far outpaced",Harris,in the number of media interviews both candidates have given .,harris
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_650,11,11,"“ Thankfully , we’ve made progress when it comes to",women,"in politics and certainly seeking the highest office in the land , ” she said . “ But there still is a double standard , and I think there’s also a double standard because it still is very difficult to cover Donald Trump . ”",men
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_650,53,53,", we’ve made progress when it comes to women in politics and certainly seeking the highest office in the land , ” she said . “ But there still is a double standard , and I think there’s also a double standard because it still is very difficult to cover",Donald,Trump . ”,donald
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_650,54,54,"we’ve made progress when it comes to women in politics and certainly seeking the highest office in the land , ” she said . “ But there still is a double standard , and I think there’s also a double standard because it still is very difficult to cover Donald",Trump,. ”,trump
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_651,4,4,When asked why,Trump,"has seen a surge in support , Clinton said it’s because those who are backing him “ think that he offers a better deal ” for their economic future .",trump
hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt_657,6,6,Related : Hillary Clinton Compares,Trump,Campaign Event To Nazi Rally,trump
house_finds_secret_service_responsible_for_preventable_trump_assassination_attempt.txt_662,10,10,House Finds Secret Service Responsible For ‘ Preventable ’,Trump,Assassination Attempt,trump
house_finds_secret_service_responsible_for_preventable_trump_assassination_attempt.txt_669,12,12,House lawmakers tasked with investigating the attempted assassination of former President,Donald,Trump in Pennsylvania said Monday that the attack never would have happened had the Secret Service been prepared .,donald
house_finds_secret_service_responsible_for_preventable_trump_assassination_attempt.txt_669,13,13,House lawmakers tasked with investigating the attempted assassination of former President Donald,Trump,in Pennsylvania said Monday that the attack never would have happened had the Secret Service been prepared .,trump
house_finds_secret_service_responsible_for_preventable_trump_assassination_attempt.txt_670,28,28,The House Task Force on the July 13 assassination attempt in Butler released a 53-page interim report detailing the “ stunning security failures ” that led to,Trump,being struck in the ear by a bullet fired by 20-year-old Thomas Matthew Crooks . These failures included numerous communication errors and inadequate planning to secure the site .,trump
house_finds_secret_service_responsible_for_preventable_trump_assassination_attempt.txt_672,32,32,One of the key findings of the report concluded that the security perimeter set up by the Secret Service allowed people to get within around 150 yards of the stage where,Trump,was speaking without going through security screening .,trump
house_finds_secret_service_responsible_for_preventable_trump_assassination_attempt.txt_675,51,51,"“ Despite its proximity to a main road , clear sight lines to the stage , and elevated position , the Secret Service placed the AGR complex outside the secure perimeter for the event , meaning that the crowd that gathered there was not screened by USSS or other law",enforcement,", ” the report said . “ The consequences of that decision were compounded by the fact that state and local law enforcement posted near the complex did not have complete visual coverage of the area . ”",men
house_finds_secret_service_responsible_for_preventable_trump_assassination_attempt.txt_675,74,74,"placed the AGR complex outside the secure perimeter for the event , meaning that the crowd that gathered there was not screened by USSS or other law enforcement , ” the report said . “ The consequences of that decision were compounded by the fact that state and local law",enforcement,posted near the complex did not have complete visual coverage of the area . ”,men
house_finds_secret_service_responsible_for_preventable_trump_assassination_attempt.txt_676,30,30,"Crooks was able to access the roof of the AGR building using an air conditioning unit to hoist himself up . From there , he opened fire , injuring",Trump,and two rallygoers and killing 50-year-old Corey Comperatore .,trump
house_finds_secret_service_responsible_for_preventable_trump_assassination_attempt.txt_681,34,34,The officer fell to the ground and radioed out that there was a man with a gun on the roof . The task force said it has no evidence that this warning reached,Trump’s,Secret Service detail before Crooks opened fire .,trump
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_688,10,10,‘ How Dare We Speak Merry Christmas : ’,Trump,"Team Posts Kamala Flashback , Promises Christmas Cheer",trump
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_688,13,13,‘ How Dare We Speak Merry Christmas : ’ Trump Team Posts,Kamala,"Flashback , Promises Christmas Cheer",kamala
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_694,1,1,,Harris,previously bashed saying ' Merry Christmas ' during negotiations about protections for illegal immigrants brought to the U.S . as children .,harris
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_694,15,15,Harris previously bashed saying ' Merry Christmas ' during negotiations about protections for illegal,immigrants,brought to the U.S . as children .,immigrant
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_695,2,2,The,Trump,"campaign posted a flashback to Vice President Kamala Harris bashing saying , “ Merry Christmas , ” promising that a second Trump presidency would have Christmas cheer .",trump
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_695,10,10,The Trump campaign posted a flashback to Vice President,Kamala,"Harris bashing saying , “ Merry Christmas , ” promising that a second Trump presidency would have Christmas cheer .",kamala
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_695,11,11,The Trump campaign posted a flashback to Vice President Kamala,Harris,"bashing saying , “ Merry Christmas , ” promising that a second Trump presidency would have Christmas cheer .",harris
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_695,24,24,"The Trump campaign posted a flashback to Vice President Kamala Harris bashing saying , “ Merry Christmas , ” promising that a second",Trump,presidency would have Christmas cheer .,trump
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_696,16,16,“ How dare we speak ‘ Merry Christmas ! ’ How dare we ! ”,Harris,said in a 2017 speech during negotiations about protections for illegal immigrants brought to the U.S . as children .,harris
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_696,28,28,“ How dare we speak ‘ Merry Christmas ! ’ How dare we ! ” Harris said in a 2017 speech during negotiations about protections for illegal,immigrants,brought to the U.S . as children .,immigrant
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_697,2,2,The,Trump,Team TikTok account posted the old video of Harris and then cut to a clip of former President Donald Trump .,trump
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_697,11,11,The Trump Team TikTok account posted the old video of,Harris,and then cut to a clip of former President Donald Trump .,harris
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_697,21,21,The Trump Team TikTok account posted the old video of Harris and then cut to a clip of former President,Donald,Trump .,donald
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_697,22,22,The Trump Team TikTok account posted the old video of Harris and then cut to a clip of former President Donald,Trump,.,trump
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_698,16,16,"“ Well , guess what ? We’re saying ‘ Merry Christmas ’ again , ”",Trump,said in the clip .,trump
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_699,2,2,Team,Trump,posted this on TikTok one day ago . It has 30M views and 4.2M likes . pic.twitter.com / CqqUcMrLGP,trump
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_702,6,6,"During his 2016 campaign ,",Trump,promised that Americans would say “ Merry Christmas ” again if he won .,trump
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_703,15,15,"“ If I’m president , you’re going to see ‘ Merry Christmas ’ in",department,"stores , believe me , ” he said in a speech at the time .",men
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_706,2,2,The,Trump,"Team’s TikTok was posted on Sunday , two days before the presidential election on Tuesday .",trump
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_707,1,1,,Trump,"and Harris are currently tied nationally , according to the RealClearPolitics polling average .",trump
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_707,3,3,Trump and,Harris,"are currently tied nationally , according to the RealClearPolitics polling average .",harris
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_708,1,1,,Trump,"holds a tiny lead in the swing states of Pennsylvania , Georgia , North Carolina , Nevada , and Arizona . Harris holds a slight lead in Michigan and Wisconsin .",trump
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_708,23,23,"Trump holds a tiny lead in the swing states of Pennsylvania , Georgia , North Carolina , Nevada , and Arizona .",Harris,holds a slight lead in Michigan and Wisconsin .,harris
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_709,6,6,"During her 2017 remarks ,",Harris,called it “ morally wrong ” to take Deferred Action for Childhood Arrivals ( DACA ) status away from non-citizens .,harris
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_711,6,6,"This election cycle , the",Trump,"campaign and Republicans have zeroed in on immigration , one of their strongest issues , arguing that the Biden administration has allowed an unmitigated disaster at the border .",trump
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_711,14,14,"This election cycle , the Trump campaign and Republicans have zeroed in on",immigration,", one of their strongest issues , arguing that the Biden administration has allowed an unmitigated disaster at the border .",immigration
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_712,1,1,,Harris,"has hammered abortion , urging women especially to vote for her to preserve legal abortion . In the last few weeks , her campaign has also tried to boost support among men , which Democrats fear may be one of her biggest vulnerabilities .",harris
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_712,7,7,"Harris has hammered abortion , urging",women,"especially to vote for her to preserve legal abortion . In the last few weeks , her campaign has also tried to boost support among men , which Democrats fear may be one of her biggest vulnerabilities .",men
how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt_712,33,33,"Harris has hammered abortion , urging women especially to vote for her to preserve legal abortion . In the last few weeks , her campaign has also tried to boost support among",men,", which Democrats fear may be one of her biggest vulnerabilities .",men
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_720,2,2,How,Trump,Learned To Embrace The Transgender Culture Wars,trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_720,7,7,How Trump Learned To Embrace The,Transgender,Culture Wars,trans
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_726,2,2,From,transgender,"athletes to parental uprisings , here's how the former president came around on the ' the 2024 sleeper issue . '",trans
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_727,2,2,Even,Donald,Trump was surprised by the massive applause he got when he promised to cut federal funding for schools pushing radical gender ideology on kids .,donald
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_727,3,3,Even Donald,Trump,was surprised by the massive applause he got when he promised to cut federal funding for schools pushing radical gender ideology on kids .,trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_728,12,12,"“ Look at the hand you get for that , ”",Trump,"marveled during a March 14 , 2023 , speech in Davenport , Iowa . “ Bigger than , ‘ We’re going to be energy independent ! ’ ”",trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_729,11,11,"Nobody would have known what he was talking about ,",Trump,"said , if he discussed gender ideology at a campaign rally during his first presidential run . He was right . Four years ago , few Americans could have imagined a presidential candidate promising to protect kids from transgender surgeries or having men in their daughters ’ sports .",trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_729,50,50,"Nobody would have known what he was talking about , Trump said , if he discussed gender ideology at a campaign rally during his first presidential run . He was right . Four years ago , few Americans could have imagined a presidential candidate promising to protect kids from",transgender,surgeries or having men in their daughters ’ sports .,trans
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_729,54,54,"known what he was talking about , Trump said , if he discussed gender ideology at a campaign rally during his first presidential run . He was right . Four years ago , few Americans could have imagined a presidential candidate promising to protect kids from transgender surgeries or having",men,in their daughters ’ sports .,men
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_730,1,1,,Trump,steered clear of the issue in 2020 . But 2024 has been a different story .,trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_731,7,7,"In the campaign’s final stretch ,",Trump,"has zeroed in on the Left’s embrace of transgenderism , pouring millions into television ads that highlight Kamala Harris’s promotion of far-left policies , such as taxpayer-funded transgender surgeries for illegal immigrants and federal prisoners .",trump
